Ik |tone_cr_pwr|om te |seal_action|Het|tone_action|van|seal_cr_pwr|Ik bezegel|timecell|van|seal_func|Met de|tone_name|toon van|tone_func|Ik word gegidst door|guiding_power|Ik ben een Galactische Activerings Portaal .. treedt mij binnen|Kasteel:|Rood Oostelijk Kasteel van Keren|Wit Noordelijk Kasteel van Kruizen|Blauw Westelijk Kasteel van Branden|Geel Zuidelijk Kasteel van Geven|Groen Centraal Kasteel van Betovering|Wavespell:
137|3|11|35|RODE|7|RESONANTE|Kanaliseer|Inspireren|Afstemming|17|Aarde|Evolueren|Synchroniciteit|Navigatie|de matrix| de kracht van universeel water|| |2|1|1||||
138|3|11|35|WITTE|8|GALACTISCHE|Harmoniseer|Modelleren|Integriteit|18|Spiegel|Reflecteren|Orde|Eindeloosheid|de matrix| de kracht van spirit|| |3|2|2||||
139|3|11|35|BLAUWE|9|SOLAIRE|Pulseer|Realiseren|Intentie|19|Storm|Catalyseren|Energie|Zelf-Generatie|de matrix| de kracht van visie|| |4|3|3||||
140|3|11|35|GELE|10|PLANETAIRE|Perfectioneer|Produceren|Manifestatie|20|Zon|Verlichten|Leven|Universeel Vuur|de matrix| de kracht van elegantie||Ik ben een polaire kin. Ik extendeer het GELE galactische spectrum |5|4|4||||
141|3|11|36|RODE|11|SPECTRALE|Los Op|Vrijlaten|Bevrijding|1|Draak|Verzorgen|Zijn|Geboorte|de inbreng| mijn eigen kracht verdubbeld|| |1|1|1||||
142|3|11|36|WITTE|12|KRISTALLEN|Ben Toegewijd|Universeel Maken|Samenwerking|2|Wind|Communiceren|Adem|Spirit|de inbreng| de kracht van tijdloosheid|| |2|2|2||||
143|3|11|36|BLAUWE|13|KOSMISCHE|Laat Voortduren|Transcenderen|Aanwezigheid|3|Nacht|Dromen|Intuïtie|Overvloed|de inbreng| de kracht van volbrenging|| |3|3|3||||
144|3|12|36|GEEl|1|MAGNETISCH|Verenig|Aantrekken|Doelstelling|4|Zaad|Richten Op|Gewaarzijn|Bloei|de inbreng| mijn eigen kracht verdubbeld|| |4|4|4||||
145|3|12|37|RODE|2|LUNAIRE|Polariseer|Stabiliseren|Uitdaging|5|Slang|Overleven|Instinct|Levenskracht|de opslag| de kracht van navigatie|| |5|1|1||||
146|3|12|37|WITTE|3|ELEKTRISCHE|Activeer|Verbinden|Dienstbaarheid|6|Wereld-Overbrugger|Gelijkmaken|Mogelijkheden|Dood|de opslag| de kracht van hart|1| |1|2|2||||
147|3|12|37|BLAUWE|4|ZELF-BESTAANDE|Definieer|Meten|Vorm|7|Hand|Weten|Genezen|Volbrenging|de opslag| de kracht van overvloed|1| |2|3|3||||
148|3|12|37|GELE|5|BOVENTOON|Bekrachtig|Besturen|Uitstraling|8|Ster|Verfraaien|Kunst|Elegantie|de opslag| de kracht van intelligentie|1| |3|4|4||||
149|3|12|38|RODE|6|RITMISCHE|Organiseer|Balanceren|Gelijkheid|9|Maan|Zuiveren|Flow|Universeel Water|het process| mijn eigen kracht verdubbeld|1| |4|1|1||||
150|3|12|38|WITTE|7|RESONANTE|Kanaliseer|Inspireren|Afstemming|10|Hond|Houden Van|Loyaliteit|Hart|het process| de kracht van spirit|1| |5|2|2||||
151|3|12|38|BLAUWE|8|GALACTISCHE|Harmoniseer|Modelleren|Integriteit|11|Aap|Spelen|Illusie|Magie|het process| de kracht van visie|1| |1|3|3||||
152|3|12|38|GELE|9|SOLAIRE|Pulseer|Realiseren|Intentie|12|Mens|Beïnvloeden|Wijsheid|Vrije Wil|het process| de kracht van elegantie|1| |2|4|4||||
153|3|12|39|RODE|10|PLANETAIRE|Perfectioneer|Produceren|Manifestatie|13|Hemelwandelaar|Onderzoeken|Waakzaamheid|Ruimte|de uitkomst| de kracht van geboorte|1| |3|1|1||||
154|3|12|39|WITTE|11|SPECTRALE|Los Op|Vrijlaten|Bevrijding|14|Tovenaar|Betoveren|Ontvankelijkheid|Tijdloosheid|de uitkomst| mijn eigen kracht verdubbeld|1| |4|2|2||||
155|3|12|39|BLAUWE|12|KRISTALLEN|Ben Toegewijd|Universeel Maken|Samenwerking|15|Adelaar|Creëren|Denkgeest|Visie|de uitkomst| de kracht van volbrenging|1| |5|3|3||||
156|3|12|39|GELE|13|KOSMISCHE|Laat Voortduren|Transcenderen|Aanwezigheid|16|Krijger|Bevragen|Angstloosheid|Intelligentie|de uitkomst| de kracht van universeel vuur|| |1|4|4||||
157|4|13|40|RODE|1|MAGNETISCHE|Verenig|Aantrekken|Doelstelling|17|Aarde|Evolueren|Synchroniciteit|Navigatie|de matrix| mijn eigen kracht verdubbeld|| |2|1|1||||
158|4|13|40|WITTE|2|LUNAIRE|Polariseer|Stabiliseren|Uitdaging|18|Spiegel|Reflecteren|Orde|Eindeloosheid|de matrix| de kracht van hart|| |3|2|2||||
159|4|13|40|BLAUWE|3|ELEKTRISCHE|Activeer|Verbinden|Dienstbaarheid|19|Storm|Catalyseren|Energie|Zelf-Generatie|de matrix| de kracht van overvloed|| |4|3|3||||
160|4|13|40|GELE|4|ZELF-BESTAANDE|Definieer|Meten|Vorm|20|Zon|Verlichten|Leven|Universeel Vuur|de matrix| de kracht van intelligentie||Ik ben een polaire kin. Ik converteer het GELE galactische spectrum |5|4|4||||
161|4|13|41|RODE|5|BOVENTOON|Bekrachtig|Besturen|Uitstraling|1|Draak|Verzorgen|Zijn|Geboorte|de inbreng| de kracht van universeel water|| |1|1|1||||
162|4|13|41|WITTE|6|RITMISCHE|Organiseer|Balanceren|Gelijkheid|2|Wind|Communiceren|Adem|Spirit|de inbreng| mijn eigen kracht verdubbeld|| |2|2|2||||
163|4|13|41|BLAUWE|7|RESONANTE|Kanaliseer|Inspireren|Afstemming|3|Nacht|Dromen|Intuïtie|Overvloed|de inbreng| de kracht van visie|| |3|3|3||||
164|4|13|41|GEEl|8|GALACTISCH|Harmoniseer|Modelleren|Integriteit|4|Zaad|Richten Op|Gewaarzijn|Bloei|de inbreng| de kracht van elegantie|| |4|4|4||||
165|4|13|42|RODE|9|SOLAIRE|Pulseer|Realiseren|Intentie|5|Slang|Overleven|Instinct|Levenskracht|de opslag| de kracht van geboorte|1| |5|1|1||||
166|4|13|42|WITTE|10|PLANETAIRE|Perfectioneer|Produceren|Manifestatie|6|Wereld-Overbrugger|Gelijkmaken|Mogelijkheden|Dood|de opslag| de kracht van tijdloosheid|| |1|2|2||||
167|4|13|42|BLAUWE|11|SPECTRALE|Los Op|Vrijlaten|Bevrijding|7|Hand|Weten|Genezen|Volbrenging|de opslag| mijn eigen kracht verdubbeld|| |2|3|3||||
168|4|13|42|GELE|12|KRISTALLEN|Ben Toegewijd|Universeel Maken|Samenwerking|8|Ster|Verfraaien|Kunst|Elegantie|de opslag| de kracht van universeel vuur|1| |3|4|4||||
169|4|13|43|RODE|13|KOSMISCHE|Laat Voortduren|Transcenderen|Aanwezigheid|9|Maan|Zuiveren|Flow|Universeel Water|het process| de kracht van ruimte|| |4|1|1||||
170|4|14|43|WITTE|1|MAGNETISCHE|Verenig|Aantrekken|Doelstelling|10|Hond|Houden Van|Loyaliteit|Hart|het process| mijn eigen kracht verdubbeld|| |5|2|2||||
171|4|14|43|BLAUWE|2|LUNAIRE|Polariseer|Stabiliseren|Uitdaging|11|Aap|Spelen|Illusie|Magie|het process| de kracht van overvloed|| |1|3|3||||
172|4|14|43|GELE|3|ELEKTRISCHE|Activeer|Verbinden|Dienstbaarheid|12|Mens|Beïnvloeden|Wijsheid|Vrije Wil|het process| de kracht van intelligentie|| |2|4|4||||
173|4|14|44|RODE|4|ZELF-BESTAANDE|Definieer|Meten|Vorm|13|Hemelwandelaar|Onderzoeken|Waakzaamheid|Ruimte|de uitkomst| de kracht van universeel water|1| |3|1|1||||
174|4|14|44|WITTE|5|BOVENTOON|Bekrachtig|Besturen|Uitstraling|14|Tovenaar|Betoveren|Ontvankelijkheid|Tijdloosheid|de uitkomst| de kracht van spirit|| |4|2|2||||
175|4|14|44|BLAUWE|6|RITMISCHE|Organiseer|Balanceren|Gelijkheid|15|Adelaar|Creëren|Denkgeest|Visie|de uitkomst| mijn eigen kracht verdubbeld|| |5|3|3||||
176|4|14|44|GELE|7|RESONANTE|Kanaliseer|Inspireren|Afstemming|16|Krijger|Bevragen|Angstloosheid|Intelligentie|de uitkomst| de kracht van elegantie|1| |1|4|4||||
177|4|14|45|RODE|8|GALACTISCHE|Harmoniseer|Modelleren|Integriteit|17|Aarde|Evolueren|Synchroniciteit|Navigatie|de matrix| de kracht van geboorte|| |2|1|1||||
178|4|14|45|WITTE|9|SOLAIRE|Pulseer|Realiseren|Intentie|18|Spiegel|Reflecteren|Orde|Eindeloosheid|de matrix| de kracht van tijdloosheid|| |3|2|2||||
179|4|14|45|BLAUWE|10|PLANETAIRE|Perfectioneer|Produceren|Manifestatie|19|Storm|Catalyseren|Energie|Zelf-Generatie|de matrix| de kracht van volbrenging|| |4|3|3||||
180|4|14|45|GELE|11|SPECTRALE|Los Op|Vrijlaten|Bevrijding|20|Zon|Verlichten|Leven|Universeel Vuur|de matrix| mijn eigen kracht verdubbeld||Ik ben een polaire kin. Ik transporteer het GELE galactische spectrum |5|4|4||||
181|4|14|46|RODE|12|KRISTALLEN|Ben Toegewijd|Universeel Maken|Samenwerking|1|Draak|Verzorgen|Zijn|Geboorte|de inbreng| de kracht van ruimte|| |1|1|1||||
182|4|14|46|WITTE|13|KOSMISCHE|Laat Voortduren|Transcenderen|Aanwezigheid|2|Wind|Communiceren|Adem|Spirit|de inbreng| de kracht van dood|| |2|2|2||||
183|4|15|46|BLAUWE|1|MAGNETISCHE|Verenig|Aantrekken|Doelstelling|3|Nacht|Dromen|Intuïtie|Overvloed|de inbreng| mijn eigen kracht verdubbeld|| |3|3|3||||
184|4|15|46|GEEl|2|LUNAIR|Polariseer|Stabiliseren|Uitdaging|4|Zaad|Richten Op|Gewaarzijn|Bloei|de inbreng| de kracht van intelligentie|1| |4|4|4||||
185|4|15|47|RODE|3|ELEKTRISCHE|Activeer|Verbinden|Dienstbaarheid|5|Slang|Overleven|Instinct|Levenskracht|de opslag| de kracht van universeel water||Ik ben een polaire kin. Ik vestig het RODE galactische spectrum|5|1|1||||
186|4|15|47|WITTE|4|ZELF-BESTAANDE|Definieer|Meten|Vorm|6|Wereld-Overbrugger|Gelijkmaken|Mogelijkheden|Dood|de opslag| de kracht van spirit|| |1|2|2||||
187|4|15|47|BLAUWE|5|BOVENTOON|Bekrachtig|Besturen|Uitstraling|7|Hand|Weten|Genezen|Volbrenging|de opslag| de kracht van visie|| |2|3|3||||
188|4|15|47|GELE|6|RITMISCHE|Organiseer|Balanceren|Gelijkheid|8|Ster|Verfraaien|Kunst|Elegantie|de opslag| mijn eigen kracht verdubbeld|| |3|4|4||||
189|4|15|48|RODE|7|RESONANTE|Kanaliseer|Inspireren|Afstemming|9|Maan|Zuiveren|Flow|Universeel Water|het process| de kracht van geboorte|1| |4|1|1||||
190|4|15|48|WITTE|8|GALACTISCHE|Harmoniseer|Modelleren|Integriteit|10|Hond|Houden Van|Loyaliteit|Hart|het process| de kracht van tijdloosheid|| |5|2|2||||
191|4|15|48|BLAUWE|9|SOLAIRE|Pulseer|Realiseren|Intentie|11|Aap|Spelen|Illusie|Magie|het process| de kracht van volbrenging|| |1|3|3||||
192|4|15|48|GELE|10|PLANETAIRE|Perfectioneer|Produceren|Manifestatie|12|Mens|Beïnvloeden|Wijsheid|Vrije Wil|het process| de kracht van universeel vuur|1| |2|4|4||||
193|4|15|49|RODE|11|SPECTRALE|Los Op|Vrijlaten|Bevrijding|13|Hemelwandelaar|Onderzoeken|Waakzaamheid|Ruimte|de uitkomst| mijn eigen kracht verdubbeld|| |3|1|1||||
194|4|15|49|WITTE|12|KRISTALLEN|Ben Toegewijd|Universeel Maken|Samenwerking|14|Tovenaar|Betoveren|Ontvankelijkheid|Tijdloosheid|de uitkomst| de kracht van dood|| |4|2|2||||
195|4|15|49|BLAUWE|13|KOSMISCHE|Laat Voortduren|Transcenderen|Aanwezigheid|15|Adelaar|Creëren|Denkgeest|Visie|de uitkomst| de kracht van zelf-generatie|| |5|3|3||||
196|4|16|49|GELE|1|MAGNETISCHE|Verenig|Aantrekken|Doelstelling|16|Krijger|Bevragen|Angstloosheid|Intelligentie|de uitkomst| mijn eigen kracht verdubbeld|| |1|4|4||||
197|4|16|50|RODE|2|LUNAIRE|Polariseer|Stabiliseren|Uitdaging|17|Aarde|Evolueren|Synchroniciteit|Navigatie|de matrix| de kracht van universeel water|1| |2|1|1||||
198|4|16|50|WITTE|3|ELEKTRISCHE|Activeer|Verbinden|Dienstbaarheid|18|Spiegel|Reflecteren|Orde|Eindeloosheid|de matrix| de kracht van spirit|| |3|2|2||||
199|4|16|50|BLAUWE|4|ZELF-BESTAANDE|Definieer|Meten|Vorm|19|Storm|Catalyseren|Energie|Zelf-Generatie|de matrix| de kracht van visie|| |4|3|3||||
200|4|16|50|GELE|5|BOVENTOON|Bekrachtig|Besturen|Uitstraling|20|Zon|Verlichten|Leven|Universeel Vuur|de matrix| de kracht van elegantie|| |5|4|4||||
201|4|16|51|RODE|6|RITMISCHE|Organiseer|Balanceren|Gelijkheid|1|Draak|Verzorgen|Zijn|Geboorte|de inbreng| mijn eigen kracht verdubbeld|| |1|1|1||||
202|4|16|51|WITTE|7|RESONANTE|Kanaliseer|Inspireren|Afstemming|2|Wind|Communiceren|Adem|Spirit|de inbreng| de kracht van tijdloosheid|| |2|2|2||||
203|4|16|51|BLAUWE|8|GALACTISCHE|Harmoniseer|Modelleren|Integriteit|3|Nacht|Dromen|Intuïtie|Overvloed|de inbreng| de kracht van volbrenging|1| |3|3|3||||
204|4|16|51|GEEl|9|SOLAIR|Pulseer|Realiseren|Intentie|4|Zaad|Richten Op|Gewaarzijn|Bloei|de inbreng| de kracht van universeel vuur|| |4|4|4||||
205|4|16|52|RODE|10|PLANETAIRE|Perfectioneer|Produceren|Manifestatie|5|Slang|Overleven|Instinct|Levenskracht|de opslag| de kracht van ruimte||Ik ben een polaire kin. Ik extendeer het RODE galactische spectrum|5|1|1||||
206|4|16|52|WITTE|11|SPECTRALE|Los Op|Vrijlaten|Bevrijding|6|Wereld-Overbrugger|Gelijkmaken|Mogelijkheden|Dood|de opslag| mijn eigen kracht verdubbeld|| |1|2|2||||
207|4|16|52|BLAUWE|12|KRISTALLEN|Ben Toegewijd|Universeel Maken|Samenwerking|7|Hand|Weten|Genezen|Volbrenging|de opslag| de kracht van zelf-generatie|| |2|3|3||||
208|4|16|52|GELE|13|KOSMISCHE|Laat Voortduren|Transcenderen|Aanwezigheid|8|Ster|Verfraaien|Kunst|Elegantie|de opslag| de kracht van vrije wil|| |3|4|4||||
209|5|17|53|RODE|1|MAGNETISCHE|Verenig|Aantrekken|Doelstelling|9|Maan|Zuiveren|Flow|Universeel Water|het process| mijn eigen kracht verdubbeld|| |4|1|1||||
210|5|17|53|WITTE|2|LUNAIRE|Polariseer|Stabiliseren|Uitdaging|10|Hond|Houden Van|Loyaliteit|Hart|het process| de kracht van spirit|1| |5|2|2||||
211|5|17|53|BLAUWE|3|ELEKTRISCHE|Activeer|Verbinden|Dienstbaarheid|11|Aap|Spelen|Illusie|Magie|het process| de kracht van visie|1| |1|3|3||||
212|5|17|53|GELE|4|ZELF-BESTAANDE|Definieer|Meten|Vorm|12|Mens|Beïnvloeden|Wijsheid|Vrije Wil|het process| de kracht van elegantie|| |2|4|4||||
213|5|17|54|RODE|5|BOVENTOON|Bekrachtig|Besturen|Uitstraling|13|Hemelwandelaar|Onderzoeken|Waakzaamheid|Ruimte|de uitkomst| de kracht van geboorte|| |3|1|1||||
214|5|17|54|WITTE|6|RITMISCHE|Organiseer|Balanceren|Gelijkheid|14|Tovenaar|Betoveren|Ontvankelijkheid|Tijdloosheid|de uitkomst| mijn eigen kracht verdubbeld|| |4|2|2||||
215|5|17|54|BLAUWE|7|RESONANTE|Kanaliseer|Inspireren|Afstemming|15|Adelaar|Creëren|Denkgeest|Visie|de uitkomst| de kracht van volbrenging|| |5|3|3||||
216|5|17|54|GELE|8|GALACTISCHE|Harmoniseer|Modelleren|Integriteit|16|Krijger|Bevragen|Angstloosheid|Intelligentie|de uitkomst| de kracht van universeel vuur|| |1|4|4||||
217|5|17|55|RODE|9|SOLAIRE|Pulseer|Realiseren|Intentie|17|Aarde|Evolueren|Synchroniciteit|Navigatie|de matrix| de kracht van ruimte|| |2|1|1||||
218|5|17|55|WITTE|10|PLANETAIRE|Perfectioneer|Produceren|Manifestatie|18|Spiegel|Reflecteren|Orde|Eindeloosheid|de matrix| de kracht van dood|1| |3|2|2||||
219|5|17|55|BLAUWE|11|SPECTRALE|Los Op|Vrijlaten|Bevrijding|19|Storm|Catalyseren|Energie|Zelf-Generatie|de matrix| mijn eigen kracht verdubbeld|| |4|3|3||||
220|5|17|55|GELE|12|KRISTALLEN|Ben Toegewijd|Universeel Maken|Samenwerking|20|Zon|Verlichten|Leven|Universeel Vuur|de matrix| de kracht van vrije wil|| |5|4|4||||
221|5|17|56|RODE|13|KOSMISCHE|Laat Voortduren|Transcenderen|Aanwezigheid|1|Draak|Verzorgen|Zijn|Geboorte|de inbreng| de kracht van levenskracht|| |1|1|1||||
222|5|18|56|WITTE|1|MAGNETISCHE|Verenig|Aantrekken|Doelstelling|2|Wind|Communiceren|Adem|Spirit|de inbreng| mijn eigen kracht verdubbeld|1| |2|2|2||||
223|5|18|56|BLAUWE|2|LUNAIRE|Polariseer|Stabiliseren|Uitdaging|3|Nacht|Dromen|Intuïtie|Overvloed|de inbreng| de kracht van visie|| |3|3|3||||
224|5|18|56|GEEl|3|ELEKTRISCH|Activeer|Verbinden|Dienstbaarheid|4|Zaad|Richten Op|Gewaarzijn|Bloei|de inbreng| de kracht van elegantie|| |4|4|4||||
225|5|18|57|RODE|4|ZELF-BESTAANDE|Definieer|Meten|Vorm|5|Slang|Overleven|Instinct|Levenskracht|de opslag| de kracht van geboorte||Ik ben een polaire kin. Ik converteer het RODE galactische spectrum|5|1|1||||
226|5|18|57|WITTE|5|BOVENTOON|Bekrachtig|Besturen|Uitstraling|6|Wereld-Overbrugger|Gelijkmaken|Mogelijkheden|Dood|de opslag| de kracht van tijdloosheid|| |1|2|2||||
227|5|18|57|BLAUWE|6|RITMISCHE|Organiseer|Balanceren|Gelijkheid|7|Hand|Weten|Genezen|Volbrenging|de opslag| mijn eigen kracht verdubbeld|| |2|3|3||||
228|5|18|57|GELE|7|RESONANTE|Kanaliseer|Inspireren|Afstemming|8|Ster|Verfraaien|Kunst|Elegantie|de opslag| de kracht van universeel vuur|| |3|4|4||||
229|5|18|58|RODE|8|GALACTISCHE|Harmoniseer|Modelleren|Integriteit|9|Maan|Zuiveren|Flow|Universeel Water|het process| de kracht van ruimte|| |4|1|1||||
230|5|18|58|WITTE|9|SOLAIRE|Pulseer|Realiseren|Intentie|10|Hond|Houden Van|Loyaliteit|Hart|het process| de kracht van dood|| |5|2|2||||
231|5|18|58|BLAUWE|10|PLANETAIRE|Perfectioneer|Produceren|Manifestatie|11|Aap|Spelen|Illusie|Magie|het process| de kracht van zelf-generatie|| |1|3|3||||
232|5|18|58|GELE|11|SPECTRALE|Los Op|Vrijlaten|Bevrijding|12|Mens|Beïnvloeden|Wijsheid|Vrije Wil|het process| mijn eigen kracht verdubbeld|| |2|4|4||||
233|5|18|59|RODE|12|KRISTALLEN|Ben Toegewijd|Universeel Maken|Samenwerking|13|Hemelwandelaar|Onderzoeken|Waakzaamheid|Ruimte|de uitkomst| de kracht van levenskracht|| |3|1|1||||
234|5|18|59|WITTE|13|KOSMISCHE|Laat Voortduren|Transcenderen|Aanwezigheid|14|Tovenaar|Betoveren|Ontvankelijkheid|Tijdloosheid|de uitkomst| de kracht van eindeloosheid|| |4|2|2||||
235|5|19|59|BLAUWE|1|MAGNETISCHE|Verenig|Aantrekken|Doelstelling|15|Adelaar|Creëren|Denkgeest|Visie|de uitkomst| mijn eigen kracht verdubbeld|| |5|3|3||||
236|5|19|59|GELE|2|LUNAIRE|Polariseer|Stabiliseren|Uitdaging|16|Krijger|Bevragen|Angstloosheid|Intelligentie|de uitkomst| de kracht van elegantie|| |1|4|4||||
237|5|19|60|RODE|3|ELEKTRISCHE|Activeer|Verbinden|Dienstbaarheid|17|Aarde|Evolueren|Synchroniciteit|Navigatie|de matrix| de kracht van geboorte|| |2|1|1||||
238|5|19|60|WITTE|4|ZELF-BESTAANDE|Definieer|Meten|Vorm|18|Spiegel|Reflecteren|Orde|Eindeloosheid|de matrix| de kracht van tijdloosheid|| |3|2|2||||
239|5|19|60|BLAUWE|5|BOVENTOON|Bekrachtig|Besturen|Uitstraling|19|Storm|Catalyseren|Energie|Zelf-Generatie|de matrix| de kracht van volbrenging|1| |4|3|3||||
240|5|19|60|GELE|6|RITMISCHE|Organiseer|Balanceren|Gelijkheid|20|Zon|Verlichten|Leven|Universeel Vuur|de matrix| mijn eigen kracht verdubbeld|| |5|4|4||||
241|5|19|61|RODE|7|RESONANTE|Kanaliseer|Inspireren|Afstemming|1|Draak|Verzorgen|Zijn|Geboorte|de inbreng| de kracht van ruimte|1| |1|1|1||||
242|5|19|61|WITTE|8|GALACTISCHE|Harmoniseer|Modelleren|Integriteit|2|Wind|Communiceren|Adem|Spirit|de inbreng| de kracht van dood|| |2|2|2||||
243|5|19|61|BLAUWE|9|SOLAIRE|Pulseer|Realiseren|Intentie|3|Nacht|Dromen|Intuïtie|Overvloed|de inbreng| de kracht van zelf-generatie|| |3|3|3||||
244|5|19|61|GEEl|10|PLANETAIR|Perfectioneer|Produceren|Manifestatie|4|Zaad|Richten Op|Gewaarzijn|Bloei|de inbreng| de kracht van vrije wil|| |4|4|4||||
245|5|19|62|RODE|11|SPECTRALE|Los Op|Vrijlaten|Bevrijding|5|Slang|Overleven|Instinct|Levenskracht|de opslag| mijn eigen kracht verdubbeld||Ik ben een polaire kin. Ik transporteer het RODE galactische spectrum|5|1|1||||
246|5|19|62|WITTE|12|KRISTALLEN|Ben Toegewijd|Universeel Maken|Samenwerking|6|Wereld-Overbrugger|Gelijkmaken|Mogelijkheden|Dood|de opslag| de kracht van eindeloosheid|| |1|2|2||||
247|5|19|62|BLAUWE|13|KOSMISCHE|Laat Voortduren|Transcenderen|Aanwezigheid|7|Hand|Weten|Genezen|Volbrenging|de opslag| de kracht van magie|| |2|3|3||||
248|5|20|62|GELE|1|MAGNETISCHE|Verenig|Aantrekken|Doelstelling|8|Ster|Verfraaien|Kunst|Elegantie|de opslag| mijn eigen kracht verdubbeld|| |3|4|4||||
249|5|20|63|RODE|2|LUNAIRE|Polariseer|Stabiliseren|Uitdaging|9|Maan|Zuiveren|Flow|Universeel Water|het process| de kracht van geboorte|| |4|1|1||||
250|5|20|63|WITTE|3|ELEKTRISCHE|Activeer|Verbinden|Dienstbaarheid|10|Hond|Houden Van|Loyaliteit|Hart|het process| de kracht van tijdloosheid||Ik ben een polaire kin. Ik vestig het WITTE galactische spectrum|5|2|2||||
251|5|20|63|BLAUWE|4|ZELF-BESTAANDE|Definieer|Meten|Vorm|11|Aap|Spelen|Illusie|Magie|het process| de kracht van volbrenging|| |1|3|3||||
252|5|20|63|GELE|5|BOVENTOON|Bekrachtig|Besturen|Uitstraling|12|Mens|Beïnvloeden|Wijsheid|Vrije Wil|het process| de kracht van universeel vuur|| |2|4|4||||
253|5|20|64|RODE|6|RITMISCHE|Organiseer|Balanceren|Gelijkheid|13|Hemelwandelaar|Onderzoeken|Waakzaamheid|Ruimte|de uitkomst| mijn eigen kracht verdubbeld|| |3|1|1||||
254|5|20|64|WITTE|7|RESONANTE|Kanaliseer|Inspireren|Afstemming|14|Tovenaar|Betoveren|Ontvankelijkheid|Tijdloosheid|de uitkomst| de kracht van dood|| |4|2|2||||
255|5|20|64|BLAUWE|8|GALACTISCHE|Harmoniseer|Modelleren|Integriteit|15|Adelaar|Creëren|Denkgeest|Visie|de uitkomst| de kracht van zelf-generatie|| |5|3|3||||
256|5|20|64|GELE|9|SOLAIRE|Pulseer|Realiseren|Intentie|16|Krijger|Bevragen|Angstloosheid|Intelligentie|de uitkomst| de kracht van vrije wil|| |1|4|4||||
257|5|20|65|RODE|10|PLANETAIRE|Perfectioneer|Produceren|Manifestatie|17|Aarde|Evolueren|Synchroniciteit|Navigatie|de matrix| de kracht van levenskracht|| |2|1|1||||
258|5|20|65|WITTE|11|SPECTRALE|Los Op|Vrijlaten|Bevrijding|18|Spiegel|Reflecteren|Orde|Eindeloosheid|de matrix| mijn eigen kracht verdubbeld|| |3|2|2||||
259|5|20|65|BLAUWE|12|KRISTALLEN|Ben Toegewijd|Universeel Maken|Samenwerking|19|Storm|Catalyseren|Energie|Zelf-Generatie|de matrix| de kracht van magie|| |4|3|3||||
260|5|20|65|GELE|13|KOSMISCHE|Laat Voortduren|Transcenderen|Aanwezigheid|20|Zon|Verlichten|Leven|Universeel Vuur|de matrix| de kracht van bloei|1| |5|4|4||||

